image,question,answer
1.jpg,What is the value of First digit ?,3
2.jpg,What is the value of First digit ?,8
3.jpg,What is the value of First digit ?,5
4.jpg,What is the value of First digit ?,9
5.jpg,What is the value of First digit ?,6
6.jpg,What is the value of First digit ?,5
7.jpg,What is the value of First digit ?,5
8.jpg,What is the value of First digit ?,9
9.jpg,What is the value of First digit ?,8
10.jpg,What is the value of First digit ?,4
11.jpg,What is the value of First digit ?,1
12.jpg,What is the value of First digit ?,1
13.jpg,What is the value of First digit ?,5
14.jpg,What is the value of First digit ?,9
15.jpg,What is the value of First digit ?,8
16.jpg,What is the value of First digit ?,8
17.jpg,What is the value of First digit ?,2
18.jpg,What is the value of First digit ?,3
19.jpg,What is the value of First digit ?,4
20.jpg,What is the value of First digit ?,0
21.jpg,What is the value of First digit ?,4
22.jpg,What is the value of First digit ?,9
23.jpg,What is the value of First digit ?,3
24.jpg,What is the value of First digit ?,1
25.jpg,What is the value of First digit ?,8
26.jpg,What is the value of First digit ?,5
27.jpg,What is the value of First digit ?,6
28.jpg,What is the value of First digit ?,5
29.jpg,What is the value of First digit ?,9
30.jpg,What is the value of First digit ?,8
31.jpg,What is the value of First digit ?,5
32.jpg,What is the value of First digit ?,8
33.jpg,What is the value of First digit ?,5
34.jpg,What is the value of First digit ?,8
35.jpg,What is the value of First digit ?,4
36.jpg,What is the value of First digit ?,1
37.jpg,What is the value of First digit ?,7
38.jpg,What is the value of First digit ?,8
39.jpg,What is the value of First digit ?,8
40.jpg,What is the value of First digit ?,9
41.jpg,What is the value of First digit ?,0
42.jpg,What is the value of First digit ?,2
43.jpg,What is the value of First digit ?,6
44.jpg,What is the value of First digit ?,8
45.jpg,What is the value of First digit ?,5
46.jpg,What is the value of First digit ?,5
47.jpg,What is the value of First digit ?,2
48.jpg,What is the value of First digit ?,4
49.jpg,What is the value of First digit ?,7
50.jpg,What is the value of First digit ?,1
51.jpg,What is the value of First digit ?,0
52.jpg,What is the value of First digit ?,9
53.jpg,What is the value of First digit ?,1
54.jpg,What is the value of First digit ?,3
55.jpg,What is the value of First digit ?,3
56.jpg,What is the value of First digit ?,1
57.jpg,What is the value of First digit ?,5
58.jpg,What is the value of First digit ?,8
59.jpg,What is the value of First digit ?,2
60.jpg,What is the value of First digit ?,3
61.jpg,What is the value of First digit ?,4
